Designator,Mid X,Mid Y,Layer,Rotation
C0,8.26,62.61,TOP,90
C1,7.24,42.93,TOP,0
C2,7.75,22.23,TOP,90
C3,8.13,7.24,TOP,270
C4,10.54,17.65,TOP,90
C5,9.27,36.7,TOP,90
C6,9.14,58.42,TOP,180
C7,8.13,79.38,TOP,0
D1,3.3,3.56,TOP,90
D2,5.59,80.26,TOP,270
R0,6.6,68.58,TOP,180
R1,6.22,49.53,TOP,180
R2,5.71,28.32,TOP,0
R3,5.21,11.05,TOP,0
R4,4.45,19.94,TOP,90
R47,9.78,3.81,TOP,90
R48,11.05,3.81,TOP,90
R5,4.32,32.89,TOP,90
R55,4.57,80.26,TOP,90
R56,4.19,5.21,TOP,0
R6,4.95,52.96,TOP,270
R7,8.38,70.61,TOP,270
U0,6.6,65.15,TOP,90
U1,5.97,46.61,TOP,90
U2,6.35,25.4,TOP,90
U3,5.46,8.38,TOP,90
U4,7.62,16.51,TOP,180
U5,6.35,35.56,TOP,180
U6,7.49,55.75,TOP,180
U7,6.99,76.58,TOP,180
